Produit,Quantité restante,Quantité optimale,Nombre de produits par lots,REF
Pastabox Ricotta Epinards,0,1,1,
Pastabox Bolognaise,0,1,1,
Pastabox Fromages Italiens,0,1,1,
Pastabox Poulet Emmental,0,1,1,
Classic Burger,0,4,1,566439
Hot dog moutarde,0,2,1,
KIri Bâtonnets,6,9,8,547337
Yop fraise,1,5,6,936207
Carottes Rapees,1,1,1,929005
Taboule Oriental,0,6,1,313647
Petits saucissons secs,0,8,1,45710
Pizza Delamama - La royal pouleto,2,0,1,349681
Pizza Delamama Bolo Di Mozza,0,0,1,782559
Pizza Delamama Fromage,0,0,1,349680
Pizza Delamama Vegetariano,1,0,1,
pizza 4 fromages,0,0,1,609894
Magnum Amande,1,16,8,802809
Magnum Double Gold,0,8,4,862306
Magnum Classique,9,16,8,802818
Magnum Blanc,12,16,8,
Magnum Cookies Blanc,5,8,8,
Magnum Double Caramel,3,8,8,
Mars glace$,33,24,6,
Mars glace Caramel Beurre Salé,12,14,6,
Snickers glace,24,18,6,
Twix glace,7,16,6,801867
Bretzel Maxi,0,2,1,87109
Cacahuetes 125g,2,2,1,
Tuiles Oignon,3,5,1,58596
tuiles paprika,0,5,1,647450
Tuiles salees,2,5,1,905451
Tuiles Barbecue,2,5,1,507168
Soufflés cacahuètes,0,10,1,434061
3Ds Nature \(Familiale\),1,3,1,
3Ds Fromage \(Familiale\),3,5,1,
Monster Munch Original,0,3,1,404838
Monster munch ketchup,0,6,1,579367
Pop Corn sucre,2,1,3,185391
Pringles Original,3,5,1,909371
Pringles Oignon,0,5,1,909372
Tuc,6,2,1,598457
Nouilles Poulet,5,3,5,183646
Nouilles Boeuf,5,3,5,482770
Nouilles Crevette,5,0,5,568324
Kinder Country,4,30,18,426818
KitKat,24,20,10,662145
Barre Céréales Lion,17,24,6,506347
Mars$,24,4,5,632966
Snickers,25,20,7,
Twix$,27,36,10,
Twix White,13,20,5,631948
Skittles Mini Rouges,2,8,8,149149
5 Schokobons,30,20,16,72628
Pom'potes pomme,29,20,20,410539
Pom'Potes Fruits,34,20,20,456609
Expresso Intenso,55,32,16,760508
Espresso,51,16,16,909287
Cappucino,20,8,16,242516
Grande Intenso,0,0,16,
Barre Cereales Fruits Rouges,23,24,6,336405
Barre Cereales Pomme,17,24,6,514868
Barre Cereales Chocolat,25,24,6,514819
Barre Nesquik,19,24,6,510716
Barre chocapic,21,24,6,509565
Gaufre chocolat,15,24,6,78106
2 Pains choco indus,0,40,8,252180
Brownie,6,16,8,71713
Granola x8,0,10,2,591469
Napolitain,24,24,12,114583
Oreo Pocket,18,20,5,468893
Crepe fourree choco,0,30,15,917944
Riz tomate à l'Italienne,0,3,1,158511
Riz curry legende,0,5,1,158515
Riz à la méditerranéenne,0,5,1,159137
Riz cantonais,0,5,1,159143
